cas;chem;use;sum;mol;state;vap
28249-77-6;Thiobencarb;herbicide;C12H16ClNOS;257.8;0;0
23564-05-8;Thiophanate-methyl;Active ingredient in fungicides.;C14H18N4O4S2 ;342.42;0;0
137-26-8;Thiram;Active ingredient in fungicides. ;C6H12N2S4;240.44;White, crystalline powder.;0.0001 
108-88-3;Toluene;"Manufacturing of benzene derivates, caprolactam dyes, TNT;";C7H8;92.15;Colourless liquid.;22
91-08-7;2,6-toluenediisocyanate;0;C9H6N2O2;174.17;TDI (mixture) is a clear-to-yellow flammable, volatile liquid ;0
95-53-4;o-toluidine;Intermediate.;C7H9N;107.17;colourless liquid;0.1 
8001-35-2;Toxaphene *;Pesticide, insecticide (on cotton crops);C10H10Cl8 * on an average ;413.8;Amber, waxy solid.;0
126-73-8;Tributylphosphate;"Solvent; plasticiser.";C12H27O4P;266.36;0;0
56-35-9;Tributyltin oxide;bactericide, fungicide;C24H54OSn2 C24H54OSn2;596.16;0;0
87-61-6;1,2,3-trichlorobenzene;Not used directly in any quantity. ;C6H3Cl3;181.44;Colourless plates. ;0.07 
120-82-1;1,2,4-Trichlorobenzene;"Solvent in chemical manufacturing; dyes and intermediates;";C6H3Cl3;181.44;"Colourless, stable, refractive liquid; insoluble in water. -";0
79-00-5;1,1,2-Trichloroethane;"Manufacturing of 1,1-dichloroethylene; solvent for chlorinated";C2H3Cl3;133.4;Colourless liquid;19
95-95-4;2,4,5-trichlorophenol;Feedstock in the synthesis of various herbicides. ;C6H3Cl3O;197.44;Solid, grey flakes (sink in water).;400
88-06-2;2,4,6-trichlorophenol;"Bactericide; fungicide; germicide; manufacturing of";C6H3Cl3O;197.44;Needles or solid. ;1
52-68-6;Trichlorphon;Active ingredient in insecticides.;C4H8Cl3O4P;257.44;Solid, crystalline, white (PESREG).;0.0000078 
88-30-2;3-Trifluoromethyl-4-nitrophenol;To exterminate lampreys.;C7H4F3NO3;207.12;crystals;0
99-35-4;1,3,5-trinitrobenzene;In explosives.;C6H3N3O6;213.12;0;0
82-71-3;2,4,6-Trinitroresorsinol;0;C6H3N3O8;245.12;yellow crystals;0
118-96-7;2,4,6-trinitrotoluene;explosive, intermediate in dyestuffs and photographic chemicals;C7H5N3O6;227.15;colourless crystals;0
900-95-8;Triphenyltin acetate;fungicide;0;409.07;0;0
639-58-7;Triphenyltin chloride;0;C18H15ClSn;385.47;0;0
76-87-9;Triphenyltin hydroxide;fungicide;C18H16OSn;367.03;white odourless powder;0
75-01-4;Vinylchloride;0;C2H3Cl;62.5;Colourless gas or liquid;2660
81-81-2;Warfarin;Active ingredient in rodenticides.;C19H16O4;308.35;Powder, white to pale cream colour. ;0.0000008 
108-38-3;m-xylene;Intermediate.;C8H10;106.18;colourless liquid;6
106-42-3;p-xylene;Intermediate.;C8H10;106.18;colourless liquid;6.5 
137-30-4;Zinc dimethyldithiocarbamate;fungicide;C6H12N2S4Zn;305.81;0;0
70124-77-5;AC 222 *;Insecticide (synthetic pyretroid).;C26H23F2NO4;0;0;0
57157-80-9;Adogen 283 *;0;C26H55N;0;0;0
35723-83-2;Adogen 383 *;0;C39H81N;0;0;0
79-06-1;Acrylamide;"Synthesis of dyes; polymers or copolymers as plastics,";CH2=CHCONH2 C3H5NO;71.08;White crytals solid.;2
68814-95-9;Alamine 336 *;Corrosion inhibitors, ore flotation agents, textile finishing;0;0;0;0
0;Alginex *;Pesticide.;0;0;0;0
5137-55-3;Aliquat 336 *;0;0;0;0;0
0;Alkylolefinsulfonate;0;0;0;0;0
109-75-1;Allylcyanide;0;C4H5N;0;0;0
7429-90-5;Aluminium;0;Al;26.98;0;0
7446-70-0;Aluminiumchloride;0;AlCl3;0;0;0
0;0;0;0;0;0;0
12642-13-6;Amberlite LA 1 *;0;0;0;0;0
834-12-8;Ametryn;Herbicide.;C9H17N5S;Colourless crystals.;Colourless crystals.;0.0000008 
141-43-5;2-Aminoethanol;Solvent. ;C2H7NO;Colourless.;Colourless.;0
123-30-8;p-Aminophenol;Photograph developing.;C6H7NO;109.12;0;0
55634-91-8;Alloxidine;Herbicide.;C17H25NO5;0;0;0
106-92-3;Allylglycidylether;Component of epoxy resin systems. ;C6H10O2;114.15;Colourless liquid.;3.6 
106-95-6;Allylbromide;0;C3H5Br;0;0;0
89-62-3;4-Amino-2-nitrotoluene;0;C7H8N2O2;0;0;0
78-96-6;1-Amino-2-propanole;0;C3H9NO;0;0;0
98-33-9;4-amino-m-toluenesulfone acid;0;C7H9NO3S;0;0;0
121-25-5;Amprolium;A coccidiostat.;C14H19N4.Cl;0;0;0
0;Amylxanthene (K-);Flotation agent.;0;Solid, decomposes.;Solid, decomposes.;0
101-05-3;Anilazine;Fungicide.;C9H5Cl3N4;0;0;0
65894-78-2;Anthraquinone-alpha-sulfonic acid;0;0;0;0;0
1434432;Aphidon;Insecticide;0;0;0;0
0;0;0;0;0;0;0
140-57-8;Aramite;0;0;0;0;0
7440-38-2;Arsenic;0;As;74.92;0;0
0;0;0;0;0;0;0
1122-54-9;4-Acetylpyridine;0;C7H7NO;0;0;0
3337-71-1 ;Asulam *;Herbicide;0;Colourless crystals.;Colourless crystals.;0
106-63-8;Acrylic acid, isobutyl ester;0;C7H12O2;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
50-65-7;Bayer 73;Lampricide;C13H8Cl2N2O4;0;0;0
1077-16-3;n-hexylbenzene;0;C12H18;0;0;0
8001-54-5;Alkyl dimethylbenzyl ammonium chloride;Microbicide;0;0;0;0
121-54-0;Benzethonium chloride;"Pesticide; antiseptic; cationic detergent.";C27H42NO2.Cl;466.1;Colourless, odourless plates, very bitter taste.;0
98-88-4;Benzoyl chloride;0;C7H5ClO;140.57;0;0.4 
22212-55-1;Benzoylprop ethyl;Herbicide;C18H17Cl2NO3;0;0;0
2116-65-6;Benzylpyridyne;0;C12H11N;0;0;0
14437-17-3;Bisidin;Herbicide;0;Colourless to light-brown liquid.;Colourless to light-brown liquid.;0
485-31-4;Binapacryl;"Fungicide; acaricide; contact miticide.";C15H18N2O6;Crystalline solid.;Crystalline solid.;0
28434-01-7;Bioresmethrin *;Insecticide;C22H26O3;0;0;0
15972-60-8;alachlor;herbicide;0;270;0;0
6484-52-2;Ammonium(I) nitrate;0;H3N.HNO3;80.06;0;0
0;0;0;0;0;0;0
25057-89-0;Bentazone;Active ingredient in herbicides.;C10H12N2O3S;0;0;0
42576-02-3;Bifenox;0;C14H9Cl2NO5;0;0;0
2079-00-7;Blasticidin-S;Fungicide;0;0;0;0
314-40-9;Bromacil;Herbicide used to control a wide range of grasses and;C9H13BrN2O2;0;0;0
7379-35-3;4-Chloropyridine HCl;Insecticide;C5H4ClN.ClH;0;0;0
0;chlorbromuron;herbicide;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
21564-17-0;Busan 72 *;Microbicide.;0;0;0;0
0;0;0;0;0;0;0
2491-38-5;Busan 90 *;Slimicide;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
13684-56-5;desmedipham;herbicide;0;0;0;0
957-51-7;N,N-dimethyl-2,2-diphenylacetamide;herbicide;C16H17NO;239.34;0;0
74-85-1;Ethylene;0;C2H4;28.05;0;0
33245-39-5;Fluchloralin;herbicide;C12H13ClF3N3O4;0;0;0
34123-59-6;Isoproturon;herbicide;C12H18N2O;0;0;0
4849-32-5;Karbutilate;herbicide;C14H21N3O3;0;0;0
319-86-8;delta-hexachlorocyclohexane;0;C6H6Cl6;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
87-85-4;Hexamethylbenzene;0;C12H18;0;0;0
3060-89-7;Metobromuron;herbicide;0;0;0;0
51218-45-2;Metolachlor;herbicide;C15H22ClNO2;0;0;0
86-87-3;NAA;herbicide;C12H10O2;0;0;0
10102-44-0;nitrogen dioxide;0;0;0;0;0
27314-13-2;Norflurazon;herbicide;C12H9ClF3N3O;0;0;0
19666-30-9;Oxadiazon;Herbicide.;C15H18Cl2N2O3;0;0;0
37924-13-3;Perfluidone;0;C14H12F3NO4S2;0;0;0
1610-18-0;prometone;herbicide;0;0;0;0
1746-01-6;TCDD;0;C12H4Cl4O2;321.97;0;0
7439-97-6;Mercury;0;Hg;200.61;0;0.0012 
0;0;0;0;0;0;0
3691-35-8;Chlorophacinone;0;C23H15ClO3;0;0;0
80-12-6;Tetramethylenedisulfoamine;0;0;0;0;0
0;0;0;0;0;0;0
62-74-8;Sodium fluoroacetate;0;C2H3FO2.Na;0;0;0
0;0;0;0;0;0;0
60-41-3;Strychnine sulfate;0;C21H22N2O2. 1/2H2O4S;0;0;0
29025-67-0;1-(p-chlorophenyl)silatrane;0;0;0;0;0
0;0;0;0;0;0;0
152-16-9;Octamethylpyrophosphoramide;0;C8H24N4O3P2;0;0;0
0;0;0;0;0;0;0
297-78-9;Isobenzan;0;C9H4Cl8O;0;0;0
143727;4-(methoxyphenyl)thiourea;0;C8H10N2OS;0;0;0
329-71-5;2,5-Dinitrophenol;0;C6H4N2O5;0;0;0
22224-92-6;Fenaminphos;0;C13H22NO3PS;0;0;0
0;0;0;0;0;0;0
4104-14-7;Gophacide;0;C14H13Cl2N2O2PS;0;0;0
51594-86-6;Pyridylmethyl(methylthiophenyl)carbamate;0;0;0;0;0
51594-83-3;3-Pyridylmethyl-N-4'-nitrophenylcarbamate;0;0;0;0;0
6923-22-4;Monocrotophos;"Systemic insecticide; acaricide.";C7H14NO5P;223.19;0;0
991-42-4;Norbormide;0;0;0;0;0
0;0;0;0;0;0;0
58-36-6;Bis(phenoxyarsinyl)oxide;0;C24H16As2O3;0;0;0
72-00-4;Dichlorvos-ethyl;0;0;0;0;0
112-36-7;Diethyleneglycoldiethylether;0;C8H18O3;0;0;0
602-09-5;di-beta-Naphthol;0;C20H14O2;0;0;0
947-02-4;Phosfolan;0;0;0;0;0
1314-84-7;Zinc phosphide;"In rat and field mice poison preparations; medicine.";P2Zn3;258.05;Dark gray crystals or powder. ;0
2865-70-5;10-Chlorophenoxyarsine;0;C12H8AsClO;0;0;0
10031-59-1;Thalliumsulfate;0;0;0;0;0
0;0;0;0;0;0;0
17650-76-9;Dicaphthoxon;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
6392-46-7;Allyloxycarb;0;C16H22N2O2;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
105-55-5;1,3-diethylthiourea;0;C5H12N2S;0;0;0
79-19-6;Thiosemicarbazide;0;CH5N3S;0;0;0
591-08-2;1-Acetylthiourea;0;C3H6N2OS;0;0;0
0;0;0;0;0;0;0
7287-19-6;Prometryne;Active ingredient in herbicides.;C10H19N5S;0;0;0
23950-58-5;Propyzamide;herbicide;C12H11Cl2NO;0;0;0
1698-60-8;Pyrazon;herbicide;C10H8ClN3O;0;0;0
74051-80-2;Sethoxydim;Active ingredient in herbicides.;0;0;0;0
1982-49-6;Siduron;herbicide;C14H20N2O;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
197143;Dodecylguanidine acetate;0;C13H29N3.C2H4O2;287.51;0;0
23422-53-9;Optunal;0;C11H15N3O2.ClH;0;0;0
35944-73-1;1,3-Cyclopentanedisulfonyl difluoride;0;C5H8F2O4S2;0;0;0
0;0;0;0;0;0;0
329-89-5;6-Aminonicotinamide;0;C6H7N3O;0;0;0
3385-34-0;Ethyl isodehydroacetate;0;C10H12O4;0;0;0
6272-87-3;Dimethylnitrooxopropyran carboxylic acid ester;0;0;0;0;0
0;terbacil;herbicide;0;0;0;0
0;0;0;0;0;0;0
584-84-9;2,4-Toluenediisocyanate;0;C9H6N2O2;174.16;White liquid. ;0.01 
0;0;0;0;0;0;0
102-96-5;beta-nitrostyrene;0;C8H7NO2;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
5847-48-3;Tributyltin hydroxyacetate;0;0;0;0;0
96-53-7;Mercaptothiazoline;0;C3H5NS2;0;0;0
141-66-2;Dicrotophos;0;C8H16NO5P;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
28801-69-6;Tributyltin neodecanoate;0;C22H46O2Sn;0;0;0
0;0;0;0;0;0;0
82679-88-7;Phenylacridinium thiocyanate;0;0;0;0;0
0;0;0;0;0;0;0
3316-24-3;1-(2-methoxyphenyl)-2-nitroethene;0;0;0;0;0
53710-61-5;Acetylcyclohexyl-methylcyclohexylamine;0;0;0;0;0
56-36-0;Tributyltin acetate;0;C14H30O2Sn;0;0;0
4342-36-3;Tributyltin benzoate;0;C19H32O2Sn;0;0;0
0;0;0;0;0;0;0
874-84-0;1-(2-thienyl)-2-nitroethene;0;C6H5NO2S;0;0;0
0;0;0;0;0;0;0
2636-26-2;Cyanophos;0;C9H10NO3PS;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
42398-17-4;Diisophorone hydrazone;0;0;0;0;0
544-47-8;p-Chlorobenzyl-pseudothiuronium chloride;0;C8H9ClN2S.ClH;0;0;0
683-18-1;Dibutyldichlorostannane;0;C6H18Cl2Sn;303.85;0;0
0;0;0;0;0;0;0
322057;Dibutyltin bis(2-ethylhexoate);0;C24H48O4Sn;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
3267-78-5;Tripropyltin acetate;0;C11H24O2Sn;0;0;0
0;0;0;0;0;0;0
76-63-1;Allyltriphenyltin;0;C21H20Sn;0;0;0
0;0;0;0;0;0;0
95-76-1;3,4-dichloroaniline;Intermediate.;C6H5Cl2N;162.02;0;0
299-85-4;Zytron;0;0;0;0;0
563-25-7;Dibutyltin difluoride;0;C8H18F2Sn;0;0;0
636-47-5;Distamycin A;0;0;0;0;0
1113-02-6;Dimethoxon;0;0;0;0;0
2587-94-2;Demephion S-sulfone;0;0;0;0;0
3101-79-9;Trinitrobenzene-aniline complex;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
10265-92-6;Methamidophos;0;0;0;0;0
0;0;0;0;0;0;0
3156-53-4;1-(3-pyridyl)-2-nitropropene;0;0;0;0;0
59-87-0;Nitrofurazone;0;C6H6N4O4;0;0;0
1716-09-2;Ethylfenthion;0;0;0;0;0
0;0;0;0;0;0;0
115-69-5;Aminoglycol;0;C4H11NO2;0;0;0
57-43-2;Amobarbital;0;C11H18N2O3;0;0;0
0;0;0;0;0;0;0
13435-05-7;Tris-(tributyltin) phosphate;0;0;0;0;0
24353-61-5;Formetanate-HCL;0;C11H16NO4PS;0;0;0
54-71-7;Pilocarpine-HCl;0;C11H16N2O2.ClH;0;0;0
300-08-3;Acreoline-HBr;0;C8H13NO2.BrH;0;0;0
869-24-9;Diethylaminoethylchloride-HCl;0;C6H14ClN.ClH;0;0;0
0;acetellic;0;0;0;0;0
53762-96-2;Actusol;oil dispersant;0;0;0;0
124-04-9;Adipic acid;0;COOH-(CH2)4-COOH C6H10O4;146.14;0;0.073 
111-69-3;Adiponitrile;0;CN-(CH2)4CN C6H8N2;108.15;Colourless liquid.;2
79-10-7;Acrylic acid;0;CH2=CHCOOH C3H4O2;72.06;Colorless liquid;3.2 
0;alkylethoxysulfate;0;0;0;0;0
0;alkylethoxylate;0;0;0;0;0
0;0;0;0;0;0;0
111-76-2;2-butoxyethanol;Solvent.;C4H9OCH2CH2OH C6H14O2;118.17;Colourless liquid.;0.6 
109-73-9;n-butylamine;"Intermediate for emulsifying agents; pharmaceuticals;";CH3(CH2)3NH2 C4H11N;73.1;Colorless, volatile liquid.;72
75-64-9;tert-Butylamine;"Intermediate for rubber accelerators; insecticides; fungicides;";C4H11N;73.13;Colourless liquid slick, quickly dissolving.;0
98-73-7;p-tert-butylbenzoic acid;0;C11H14O2;Colourless crystalline powder.;Colourless crystalline powder.;0
109-21-7;Butylbutyrate;0;C8H16O2;0;0;0
0;n-n-butylimidazole;0;0;0;0;0
620-88-2;p-Nitrophenylphenylether;0;C12H9NO3;0;0;0
98-51-1;p-tert-butyltoluene;0;C11H16;148.25;0;0
107-92-6;n-butyric acid;0;CH3(CH2)2COOH C4H8O2;88.1;Colourless liquid.;0.43 
66419-38-3;Capacitor 21;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
12774-30-0;Corexit 7664;0;0;0;0;0
0;Cumilate RQ 24;0;0;0;0;0
66555-33-7;Cutrine;Algicide.;0;0;0;0
0;0;0;0;0;0;0
0;alkylsulfate;0;0;0;0;0
1745-81-9;2-allylphenol;0;0;0;0;0
78-87-5;1,2-Dichloropropane;"Solvent; Intermediate.";C3H6Cl2;113;0;0
109-57-9;Allylthiourea;"Medicine; corrosion inhibitor, organic synthesis.";C3H5NHCSNH2 C4H8N2S;White crystalline solid.;White crystalline solid.;0
0;amineoxide;0;0;0;0;0
546-93-0;Magnesium(II) carbonate;0;CH2O3.Mg;84.32;0;0
133-90-4;3-Amino-2,5-dichlorobenzoic acid;Selective preemergence herbicide.;C7H5Cl2NO2;White odourless chrystalline solid.;White odourless chrystalline solid.;0.007 
35572-78-2;2-Amino-4,6-dinitrotoluene;0;0;0;0;0
56207-39-7;2-Amino-3,6-dinitrotoluene;0;C7H7N3O4;0;0;0
70343-06-5;3-Amino-2,4-dinitrotoluene;0;0;0;0;0
10202-92-3;3-amino-2,6-dinitrotoluene;0;0;0;0;0
19406-51-0;4-amino-2,6-dinitrotoluene;0;0;0;0;0
6393-42-6;4-Amino-3,5-dinitrotoluene;0;C7H7N3O4;0;0;0
5267-27-6;5-Amino-2,4-dinitrotoluene;0;0;0;0;0
5401-94-5;5-Aminoindazole;0;C7H5N3O2;0;0;0
5192-03-0;5-Aminoindole;0;C8H8N2;0;0;0
580-17-6;3-Aminokinoline;0;C9H8N2;0;0;0
611-34-7;5-Aminoquinoline;0;C9H8N2;0;0;0
3096-70-6;4-Amino-3,5-xylenol;0;C8H11NO;0;0;0
119-34-6;4-amino-2-nitrophenol;0;C6H6N2O3;0;0;0
35975-00-9;5-Amino-6-nitroquinoline;0;C9H7N3O2;0;0;0
776-34-1;1-Amino-4-nitronaphthalene;0;C10H8N2O2;0;0;0
4214-76-0;2-Amino-5-nitropyridine;0;C5H5N3O2;0;0;0
0;aminonitrotoluene;0;0;0;0;0
119-32-4;2-amino-4-nitrotoluene;0;C7H8N2O2;0;0;0
570-24-1;2-Amino-6-nitrotoluene;0;C7H8N2O2;0;0;0
0;2,4-D diethylaminesalt;0;0;0;0;0
2008-39-1;2,4-D dimethylaminesalt;0;C8H6Cl2O3.C2H7N;0;0;0
578-46-1;3-Amino-4-nitrotoluene;0;C7H8N2O2;0;0;0
0;2,4-D ethylthio;0;0;0;0;0
504-29-0;2-Aminopyridine;0;C5H6N2;94.11;0;0
504-24-5;4-Aminopyridine;Intermediate. ;C5H6N2;94.12;A solid with a tan to brown color.;0
0;2,4-D propyleneglycol butylether ester;0;0;0;0;0
631-61-8;Ammoniumacetate;"Drugs; textile dyeing; foam rubbers; vinylplastics.";C2H4O2.H3N;0;0;0
14221-48-8;ammoniumferricyanide;0;0;0;0;0
12125-01-8;Ammoniumfluoride;"Fluorides; antiseptic in brewing; wood preservation.";NH4F;White crystals.;White crystals.;0
0;ammoniumjarosite;0;0;0;0;0
1861-32-1;Dacthal;Selective preemergence herbicide.;0;White crystals.;White crystals.;0.5 
506-87-6;Ammoniumcarbonate;0;CH2O3.2H3N;0;0;0
12125-02-9;Ammoniumchloride;"Dry batteries; soldering; manufacture of various ammonia";NH4Cl;White crystals.;White crystals.;0
131-74-8;Ammoniumpicrate;"Explosive; medicine.";C6H3N3O7.H3N;Yellow crystals.;Yellow crystals.;0
7783-20-2;Ammonium sulfate;"Fertilizers; fermentation; viscose rayon; tanning; food";H3N. 1/2H2O4S;132.16;Brownish-gray to white crystals.;0
10196-04-0;Ammoniumsulfite;"Chemical intermediate; medicine; photography.";(NH4)2SO3H2O;"Colourless crystals; acrid; sulfurous taste.";"Colourless crystals; acrid; sulfurous taste.";0
71-41-0;Amyl alcohol;Solvent.;C5H12O;88.15;0;0
628-63-7;n-Amylacetate;Solvent.;C7H14O2;130.2;0;0
142-04-1;Aniline hydrochloride;"Dye intermediate; dyeing and printing.";C6H7N.ClH;129.59;White crystals, darkens in light and air.;0
7440-36-0;Antimony;0;Sb;0;0;0
518-75-2;Antimycin;0;C13H14O5;0;0;0
120-12-7;Anthracene;Dyes.;C14H10;178.23;0;0
1303-33-9;Arsenetrisulfide;Pigment, reducing agent, pyrotechnics, glass used for infrared;As2S2;Yellow crystals or powder.;Yellow crystals or powder.;0
30560-19-1;Acephate;0;C4H10NO3PS ;183.18;0;0
506-96-7;Acetyl bromide;0;C2H3BrO;0;0;0
75-36-5;Acetyl chloride;0;C2H3ClO;0;0;0
7440-39-3;Barium;0;Ba;0;0;0
7727-43-7;Bariumsulfate;0;Ba.H2O4S;0;0;0
741-58-2;Bensulide;Selective preemergence herbicide.;C14H24NO4PS3;Amber-colored liquid.;Amber-colored liquid.;0
225-51-4;Benz(c)acridine;Occurs in engine exhaust gas at lower concentrations than;C17H11N ;229.28;Insoluble yellow needles.;0
142-28-9;1,3-Dichloropropane;0;C3H6Cl2;0;0;0
65-85-0;Benzoic acid;"Food preservative; pharmaceutical and cosmetic preparations;";C7H6O2;122.1;White powder.;0.0043 
119-61-9;Benzophenone;0;C13H10O ;0;0;0
106-51-4;1,4-benzoquinone;Manufacture of dyes and hydroquinone.;C6H4O2;108.09;Yellow crystals.;0.09 
100-47-0;Benzonitrile;0;C7H5N;103.12;0;0
98-07-7;Benzotrichloride;0;C7H5Cl3;195.48;Colourless to yellowish liquid.;0.23 
3772-55-2;Dehydroabietol;0;C20H30O;0;0;0
16060-78-9;Dehydrojuvabione;0;0;0;0;0
0;0;0;0;0;0;0
124-18-5;n-Decane;"Organic synthesis; solvent; standardized hydrocarbon; jet fuel";C10H22;142.28;0;2.7 
140-56-7;Dexon;0;C8H11N3O3S.Na;Yellow brown powder.;Yellow brown powder.;0
123-42-2;Diacetone;Solvent.;C6H12O2;116.16;Colorless liquid, becomes yellow on aging.;1
0;0;0;0;0;0;0
7440-41-7;Beryllium;0;Be;0;0;0
111-44-4;bis(2-chloroethyl)ether;Solvent.;C4H8Cl2O;143.02;0;1.55 
1420-04-8;Bayluscide;0;0;0;0;0
10043-35-3;Boric acid;As an active ingredient in liquid wood preservatives with;H3BO3;solid;solid;0
0;alpha-bromo-2',5'-dimethoxyacetophenone;0;0;0;0;0
101-55-3;4-bromophenylphenylether;0;C12H9BrO;0;0;0
577-19-5;o-Bromonitrobenzene;0;C6H4BrNO2;0;0;0
506-68-3;Bromocyanide;"Organic synthesis; parasiticide; fumigating composition; rat";CBrN;105.93;Crystals.;100
108-85-0;bromocyclohexane;0;C6H11Br;0;0;0
2104-96-3;Bromophos;Active ingredient in insecticides.;C8H8BrCl2O3PS;0;0;0
4824-78-6;Bromophos-ethyl;insecticide;C10H12BrCl2O3PS;0;0;0
357-57-3;Brucine;"Medicine; denaturing alcohol; lubricant additive.";C23H26N2O4;394.45;"White crystalline alkaloid; very bitter taste.";0
75-25-2;Bromoform;"Pharmaceutical manufacturings; ingredient in fire-resistant";CHBr3;252.77;Colourless liquid.;5.6 
106-99-0;1,3-butadiene;"Principally in styrene-butadiene rubber; in latex paints;";C4H6;54.09;Colourless gas.;1840
23184-66-9;butachlor;0;C17H26ClNO2;0;0;0
111-77-3;Diethylenglycolmonomethylether;0;C5H12O3;120.2;Liquid.;0.18 
109-89-7;Diethylamine;Solvent.;C4H11N;0;0;0
17754-90-4;4-diethylaminosalicylaldehyde;0;0;0;0;0
111-90-0;Diethyleneglycolmonoethylether;0;C6H14O3;0;0;0
623-91-6;Diethylfumarate;0;C8H12O4;0;0;0
298-07-7;2-ethyl-1-hexanol hydrogen phosphate;0;C16H35O4P ;0;0;0
49866-87-7;Difenzoquat;Active ingredient in herbicides.;"C17H17N2 (CAS 48866-87-7); C17H17N2.CH3O4S (CAS 43222-48-6)";0;0;0.0000001 
191906;Difolatan;Fungicide;C10H9Cl4NO2S;0;0;0
34681-23-7;Butoxycarboxim;Active ingredient in insecticides.;C7H14N2O4S;0;0;0
141-32-2;n-Butylacrylate;Solvent.;C7H12O2;128.2;Colorless liquid.;4
123-72-8;Butylaldehyde;0;C4H8O;72.1;0;71
7337-45-3;t-Butylamine borane;Fogging agent in photoprocessing.;C4H14BN;86.97;0;0
123-86-4;n-Butylacetate;Solvents in production of lacquers, perfumes, natural gums and;C6H12O2;116.16;Colourless liquid. ;10
540-88-5;tert-Butylacetate;0;CH3COOC(CH3)3 C6H12O2 (as in EINECS);Colourless liquid.;Colourless liquid.;0
25377-73-5;Dodecenylsuccinic anhydride;0;C16H26O3;0;0;0
1378247;2,6-Dimethoxytoluene;0;C9H12O2;0;0;0
28553-12-0;Diisononylphthalate;0;C26H42O4;0;0;0
108-18-9;Diisopropylamine;0;C6H15N;0;0;0
110-97-4;Diisopropanolamine;0;C6H15NO2;0;0;0
0;2,5-dichlorobenzosulfonate;0;0;0;0;0
555-37-3;3-(3,4-dichlorophenyl)-1-methyl-1-n-butylurea;Pesticide;C12H16Cl2N2O;0;0;0
2460-49-3;4,5-dichloroguaiacol;0;C7H6O2Cl2;193;0;0
3978-67-4;3,4-Dichlorocatechol;0;0;0;0;0
3428-24-8;4,5-Dichlorocatechol;0;C6H4Cl2O2;0;0;0
150-78-7;p-Dimethoxybenzene;0;C8H10O2;0;0;0
121-69-7;N,N-dimethylaniline;Dyes, intermediates, solvent, manufacture of vanillin,;C8H11N;121;Yellowish to brownish, oily liquid.;1
95-68-1;2,4-dimethylaniline;"Intermediate in production of dyes; pesticide and ";C8H11N;121.2;Liquid;1.02 
75-97-8;3,3-Dimethyl-2-butanone;0;C6H12O;0;0;0
584-08-7;Potassium carbonate;0;CO3.2K CH2O3.2K (EINECS form);138.21;0;0
0;1,5-dimethyl-2,4-dinitrobenzene;0;0;0;0;0
68-12-2;Dimethylformamide;Solvent.;C3H7NO;0;0;0
62-75-9;N,N-Dimethylnitrosoamine;0;C2H6N2O;0;0;0
4097-36-3;4,6-Dinitro-o-sec-amylphenol;Herbicide;0;0;0;0
25322-17-2;Dinonylnaphthalene sulfonate;0;C28H44O3S;0;0;0
110-98-5;Dipropylenglycol;Polyester and alkyd resins, reinforced plastics, plasticizers,;C6H14O3 ;Water-white liquid;Water-white liquid;0
131-16-8;Dipropylphthalate;0;C14H18O4;0;0;0
629-40-3;1,6-Dicyanohexane;0;C8H12N2;0;0;0
0;Diterpene;0;0;0;0;0
6834-92-0;Silicic acid, disodium salt;0;O3Si.2Na H2O3Si.2Na (EINECS form);122.07;0;0
7631-99-4;Sodium(I) nitrate;0;HNO3.Na;85;0;0
12788-93-1;n-butylphosphoric acid;"Esterification catalyst and polymerizing agent ; curing";0;Water white liquid.;Water white liquid.;0
109-69-3;n-butylchloride;0;CH3(CH2)2CH2Cl C4H9Cl;92.57;0;80.1 
7726-95-6;Bromine;0;Br2 Br2;159.82;0;0
872-05-9;1-Decene;0;C10H20;Colorless liquid.;Colorless liquid.;1
87-52-5;Donax;0;C11H14N2;0;0;0
0;DOW EC-7 *;0;0;0;0;0
0;0;0;0;0;0;0
117-82-8;Di(2-methoxyethyl)phthalate;"Plasticizer, especially for cellulose acetate; solvent.";C14H18O6;Oily liquid.;Oily liquid.;0
592-85-8;Mercuric thiocyanate;0;CHNS. 1/2Hg;0;0;0
959-98-8;Endosulfan A;Insecticide;0;0;0;0
33213-65-9;Endosulfan B;Insecticide;0;0;0;0
129-67-9;7-Oxabicyclo(2,2,1)heptane-2,3-dicarboxylic acid, disodium salt;Herbicide;C8H10O5.2Na;230.14;0;0
